Delta (ms),Jitter (ms),Skew(ms),IP BW (kbps)
"20,44","1,90","-0,49","14,70"
"16,02","2,03","3,49","15,85"
"22,41","2,05","1,08","16,98"
"20,19","1,93","0,89","18,14"
"22,99","2,00","-2,10","19,22"
"15,87","2,13","2,03","20,39"
"20,01","2,00","2,02","21,57"
"26,42","2,28","-4,41","22,74"
"22,06","2,26","-6,46","23,90"
"12,94","2,56","0,60","24,96"
"21,31","2,48","-0,71","25,98"
"19,78","2,34","-0,48","26,92"
"26,76","2,62","-7,24","27,90"
"16,73","2,66","-3,97","28,90"
"14,83","2,82","1,19","29,88"
"23,81","2,88","-2,62","30,86"
"22,80","2,87","-5,41","31,98"
"14,62","3,03","-0,03","33,04"
"20,49","2,87","-0,53","34,07"
"21,39","2,78","-1,92","35,04"
"18,64","2,69","-0,56","36,06"
"21,50","2,62","-2,05","37,09"
"24,33","2,72","-6,38","38,07"
"13,92","2,93","-0,31","39,06"
"24,73","3,04","-5,03","40,22"
"17,11","3,03","-2,14","41,26"
"20,87","2,90","-3,01","42,36"
"19,48","2,75","-2,49","43,45"
"13,68","2,97","3,83","44,63"
"27,71","3,27","-3,88","45,79"
"19,61","3,09","-3,49","46,97"
"23,81","3,13","-7,30","48,14"
"17,42","3,10","-4,72","49,39"
"18,23","3,02","-2,95","50,58"
"20,20","2,84","-3,15","51,71"
"14,25","3,02","2,60","52,86"
"25,25","3,16","-2,65","54,06"
"21,77","3,07","-4,42","55,17"
"19,89","2,89","-4,31","55,24"
"20,23","2,72","-4,53","55,17"
"17,69","2,70","-2,23","56,21"
"26,36","2,93","-8,58","55,00"
"14,69","3,07","-3,28","54,95"
"18,31","2,99","-1,59","56,02"
"20,30","2,82","-1,89","56,02"
"17,79","2,78","0,32","56,02"
"24,64","2,90","-4,31","56,00"
"15,75","2,98","-0,07","55,90"
"28,27","3,31","-8,34","54,70"
"8,56","3,82","3,10","55,86"
"25,54","3,93","-2,43","54,52"
"16,68","3,89","0,89","54,50"
"28,24","4,16","-7,35","54,49"
"12,23","4,39","0,42","54,46"
"25,46","4,46","-5,04","54,44"
"17,85","4,31","-2,89","54,38"
"24,90","4,35","-7,78","54,31"
"9,31","4,74","2,91","55,31"
"21,67","4,55","1,24","55,14"
"25,16","4,59","-3,92","53,91"
"18,93","4,37","-2,85","53,90"
"19,62","4,12","-2,47","54,08"
"18,29","3,97","-0,76","55,23"
"11,52","4,25","7,72","55,35"
"26,94","4,42","0,78","54,52"
"25,97","4,52","-5,19","54,62"
"16,36","4,46","-1,55","55,66"
"16,31","4,41","2,14","55,62"
"34,96","5,07","-12,81","54,62"
"5,82","5,64","1,37","55,65"
"30,32","5,93","-8,95","54,88"
"0,00","6,81","11,04","56,01"
"31,69","7,12","-0,64","56,05"
"30,56","7,33","-11,20","55,18"
"25,75","7,23","-16,96","55,19"
"8,31","7,51","-5,26","55,30"
"20,86","7,10","-6,12","55,39"
"22,77","6,83","-8,89","55,43"
"20,27","6,42","-9,17","55,30"
"16,34","6,25","-5,50","55,28"
"18,93","5,92","-4,43","55,29"
"31,77","6,29","-16,20","55,25"
"20,65","5,94","-16,85","55,16"
"0,00","6,81","3,15","56,30"
"30,86","7,07","-7,72","55,07"
"22,67","6,79","-10,39","54,90"
"24,10","6,62","-14,49","54,74"
"10,35","6,81","-4,85","54,74"
"12,48","6,86","2,67","55,86"
"18,74","6,51","3,93","56,06"
"43,52","7,57","-19,59","55,09"
"9,45","7,76","-9,05","55,22"
"15,19","7,57","-4,24","55,35"
"17,37","7,26","-1,61","55,44"
"27,43","7,27","-9,04","55,46"
"15,66","7,09","-4,69","55,54"
"17,49","6,80","-2,19","56,72"
"16,83","6,58","0,98","56,87"
"35,81","7,15","-14,83","55,86"
"3,97","7,71","1,20","55,86"
"29,53","7,82","-8,32","55,90"
"13,74","7,73","-2,06","55,99"
"26,55","7,65","-8,61","56,12"
"16,25","7,41","-4,86","56,20"
"13,22","7,37","1,92","57,36"
"26,91","7,34","-4,99","56,34"
"29,64","7,48","-14,63","56,37"
"8,50","7,73","-3,13","56,58"
"24,03","7,50","-7,16","56,78"
"16,31","7,26","-3,47","57,91"
"22,92","6,99","-6,39","57,02"
"16,93","6,75","-3,32","57,02"
"11,90","6,83","4,77","58,14"
"23,86","6,65","0,91","57,01"
"28,16","6,74","-7,25","57,06"
"16,03","6,57","-3,28","58,16"
"16,44","6,38","0,28","58,19"
"26,94","6,42","-6,66","57,20"
"25,86","6,38","-12,53","58,35"
"8,22","6,72","-0,74","57,47"
"20,64","6,34","-1,38","58,66"
"14,33","6,30","4,29","57,49"
"34,51","6,81","-10,23","57,61"
"16,02","6,63","-6,24","58,80"
"17,71","6,36","-3,95","58,90"
"21,03","6,03","-4,98","58,98"
"16,69","5,86","-1,66","59,04"
"23,75","5,73","-5,41","59,01"
"20,62","5,41","-6,03","58,99"
"17,60","5,22","-3,63","59,07"
"13,45","5,30","2,92","59,14"
"25,99","5,35","-3,07","59,04"
"12,81","5,46","4,12","60,18"
"23,43","5,33","0,69","57,94"
"25,80","5,36","-5,11","59,17"
"18,95","5,09","-4,06","59,29"
"19,01","4,84","-3,07","59,54"
"20,82","4,59","-3,89","59,70"
"17,31","4,47","-1,20","58,69"
"20,70","4,23","-1,90","58,54"
"12,42","4,44","5,68","59,72"
"24,65","4,45","1,02","60,94"
"22,58","4,34","-1,55","59,80"
"22,27","4,21","-3,83","58,64"
"14,17","4,31","2,00","59,81"
"17,98","4,17","4,02","59,90"
"31,01","4,59","-6,99","58,78"
"15,53","4,59","-2,53","58,83"
"13,61","4,70","3,86","60,06"
"19,61","4,43","4,26","60,02"
"25,65","4,51","-1,40","60,02"
"26,96","4,66","-8,36","58,80"
"14,25","4,73","-2,61","59,97"
"21,05","4,50","-3,66","59,81"
"17,60","4,37","-1,26","58,50"
"22,64","4,26","-3,90","59,59"
"17,51","4,15","-1,41","59,57"
"24,91","4,20","-6,32","58,30"
